10000 25000
3 14 0.501212
13 83 10.4635284747365
14 15 0.500330
1937 251 18.27364527
15 926 0.700050052
43 65 4.63527109
926 535 0.800000133589
291 677 6.857462583
535 8979 0.50000000000079
3000 372 26.276352178394000283
8979 3238 0.000000000000323
9873 6253 8.37263543748372683974625
3238 4 0.14000000000000000000000084
32 1 7.2536251463837463526362252534
0 1087 12.1625
1 9803 6.16254
2 7670 6.16254
3 9231 13.1625
4 3653 10.1625
5 4927 7.16254
6 3394 6.16254
7 4586 14.1625
8 9133 9.16254
9 5265 5.16254
10 45 8.16254
11 4856 8.16254
12 4119 12.1625
13 7698 11.1625
14 8940 8.16254
15 184 11.1625
16 4046 14.1625
17 9210 12.1625
18 1911 12.1625
19 8929 12.1625
20 151 11.1625
21 6219 7.16254
22 9362 7.16254
23 3652 8.16254
24 9869 11.1625
25 1055 9.16254
26 5215 13.1625
27 6631 10.1625
28 7561 11.1625
29 4653 10.1625
30 6541 13.1625
31 1278 9.16254
32 6408 6.16254
33 5470 6.16254
34 2096 14.1625
35 7050 8.16254
36 1422 7.16254
37 8958 9.16254
38 7241 12.1625
39 865 7.16254
40 4693 11.1625
41 7026 12.1625
42 9415 13.1625
43 9244 6.16254
44 2735 12.1625
45 6644 12.1625
46 318 14.1625
47 3030 12.1625
48 1577 12.1625
49 8212 6.16254
50 4484 14.1625
51 7504 8.16254
52 1698 7.16254
53 9857 14.1625
54 657 14.1625
55 7633 11.1625
56 4226 6.16254
57 6842 6.16254
58 3065 6.16254
59 3784 14.1625
60 3150 7.16254
61 6660 11.1625
62 1518 6.16254
63 1778 11.1625
64 9774 8.16254
65 8351 11.1625
66 1 9.16254
67 3332 12.1625
68 3902 14.1625
69 2222 14.1625
70 3913 6.16254
71 1493 11.1625
72 7681 8.16254
73 4947 12.1625
74 7587 9.16254
75 8130 10.1625
76 2327 9.16254
77 4206 7.16254
78 6065 11.1625
79 105 11.1625
80 723 13.1625
81 1683 9.16254
82 7478 11.1625
83 4007 7.16254
84 8205 5.16254
85 9105 12.1625
86 9250 14.1625
87 3425 11.1625
88 2099 8.16254
89 2428 13.1625
90 270 14.1625
91 2007 12.1625
92 8515 11.1625
93 9606 8.16254
94 6946 14.1625
95 422 9.16254
96 1335 10.1625
97 9976 7.16254
98 8703 6.16254
99 3360 7.16254
100 3379 13.1625
101 613 10.1625
102 7812 10.1625
103 4310 14.1625
